City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
195,turpan,42.9333,89.1667,290.25,21,0,0.74,CN,1697600557
196,yuzhno-kurilsk,44.0306,145.8556,283.91,75,19,5.58,RU,1697600558
197,lerwick,60.1545,-1.1494,282.15,87,100,5.62,GB,1697600558
198,papatowai,-46.5619,169.4708,287.52,64,86,7.87,NZ,1697600558
199,port alfred,-33.5906,26.891,290.31,75,0,2.09,ZA,1697600558
200,kailua-kona,19.6406,-155.9956,302.32,77,20,3.09,US,1697600362
201,portales,34.1862,-103.3344,292.89,38,0,5.24,US,1697600558
202,barclayville,4.6797,-8.2339,296.98,93,74,0.72,LR,1697600558
203,chonchi,-42.6128,-73.8092,281.71,92,81,1.17,CL,1697600559
204,kudymkar,59.0173,54.656,275.94,78,97,8.7,RU,1697600559
205,serafimovich,49.5786,42.736,278.24,51,0,4.47,RU,1697600559
206,gaiman,-43.2897,-65.4929,285.18,46,73,4.19,AR,1697600559
207,kone,-21.0595,164.8658,298.23,72,67,4.82,NC,1697600559
208,nueva guinea,11.6876,-84.4562,295.92,95,100,2.98,NI,1697600560
209,paraty,-23.2178,-44.7131,296.34,95,100,1.67,BR,1697600560
210,tual,-5.6667,132.75,300.03,75,80,4.5,ID,1697600410
211,alva,56.1528,-3.8051,284.63,82,100,4.02,GB,1697600560
212,uruguaiana,-29.7547,-57.0883,291.11,82,0,5.14,BR,1697600560
213,tamanrasset,22.785,5.5228,293.1,18,0,3.6,DZ,1697600560
214,horasan,40.0458,42.1728,280.74,77,41,0.19,TR,1697600561
215,hargeysa,9.56,44.065,293.63,81,8,0.23,SO,1697600561
216,olinda,-8.0089,-34.8553,298.0,73,40,4.63,BR,1697600561
217,hirara,24.8,125.2833,301.07,61,40,6.69,JP,1697600561
218,black point,-34.6187,137.8972,295.7,34,0,1.72,AU,1697600561
219,greenwood,34.1668,-82.1165,284.83,57,0,0.0,US,1697600353
220,anadyr,64.75,177.4833,267.43,67,20,9.0,RU,1697600562
221,isabela,6.7085,121.9711,305.18,68,50,0.7,PH,1697600562
222,havelock,34.8791,-76.9013,289.22,84,100,3.6,US,1697600562
223,alpena,45.0617,-83.4327,283.29,96,100,0.45,US,1697600562
224,el granada,37.5027,-122.4694,293.31,87,100,10.29,US,1697600557
225,afaahiti,-17.75,-149.2833,299.85,86,91,6.92,PF,1697600562
226,greymouth,-42.4667,171.2,286.71,66,95,2.06,NZ,1697600563
227,sibolga,1.7427,98.7792,302.17,67,60,1.9,ID,1697600563
228,ghazni,33.5536,68.4269,283.86,31,44,0.34,AF,1697600563
229,upington,-28.4478,21.2561,291.36,39,0,2.06,ZA,1697600563
230,vernon,50.2581,-119.2691,285.54,72,100,1.34,CA,1697600563
231,tobelo,1.7284,128.0095,302.64,68,62,2.73,ID,1697600563
232,nova sintra,14.8667,-24.7167,298.26,70,2,1.99,CV,1697600564
233,orbottyan,47.6871,19.2824,271.86,63,0,1.13,HU,1697600564
234,hamilton,39.1834,-84.5333,282.62,89,100,2.57,US,1697600428
235,mengellang,7.6957,134.6305,301.1,73,24,0.49,PW,1697600564
236,bryne,58.7354,5.6477,278.12,98,100,0.51,NO,1697600564
237,ilomantsi,62.6716,30.9328,274.09,91,100,3.24,FI,1697600564
238,nguigmi,14.2495,13.1092,301.93,27,82,5.12,NE,1697600565
239,kingston,17.997,-76.7936,302.68,87,20,3.09,JM,1697600292
240,twon-brass,4.3151,6.2418,298.9,88,100,4.2,NG,1697600565
241,antonio enes,-16.2325,39.9086,298.34,77,88,2.8,MZ,1697600565
242,tarawa,1.419,172.984,304.2,70,75,4.63,KI,1697600565
243,magadan,59.5667,150.8,270.83,75,0,4.92,RU,1697600565
244,bhamo,24.2667,97.2333,303.58,50,1,0.9,MM,1697600566
245,cannonvale,-20.2833,148.7,297.81,68,58,8.52,AU,1697600566
246,sola,-13.8833,167.55,302.52,70,75,3.09,VU,1697600566
247,guli,28.8833,120.0333,298.52,50,0,1.52,CN,1697600566
248,diok'nisi,41.6293,42.3917,281.28,84,100,1.5,GE,1697600567
249,maceio,-9.6658,-35.7353,295.84,94,75,3.09,BR,1697600567
250,bonthe,7.5264,-12.505,297.02,93,99,2.07,SL,1697600567
251,cedeira,43.6797,-8.0209,289.47,91,100,12.81,ES,1697600567
252,port saint john's,-31.6229,29.5448,289.3,82,2,3.68,ZA,1697600567
253,mastic beach,40.7668,-72.8521,285.36,90,100,0.0,US,1697600567
254,barela,23.1,80.05,297.6,78,1,1.03,IN,1697600568
255,kitaibaraki,36.7833,140.75,296.07,60,70,0.89,JP,1697600568
256,st. john's,47.5649,-52.7093,277.35,91,100,0.89,CA,1697600474
